source_table,Sr. No,Name,Topic,Date of Publication,Application Number,Status,col7,col8
Patents 2024,113,"""Mr. Suresh Chandra Yadav
Dr. Pawan Kumar""",Faculty of Law,A SYSTEM FOR BLOCKCHAIN-BASED SMART CONTRACTS FOR ENFORCING COMMERCIAL AGREEMENTS,25.10.2024,202421070763,Published,View
Patents 2024,114,"""Mr. Anil Kumar Singh
Mr. Dilip Dwivedy""",Faculty of Law,A BLOCKCHAIN-BASED SHAREHOLDER VOTING AND PROXY MANAGEMENT SYSTEM,25.10.2024,202421070894,Published,View
Patents 2024,115,"""Mr. Ranjan Kumar Ray
Ms. Itishri Upadhyay""",Faculty of Law,A SYSTEM FOR AUTOMATED TRADEMARK SEARCH AND INFRINGEMENT DETECTION PLATFORM,25.10.2024,202421071272,Published,View
Patents 2024,116,"""Mr. Akash Ingle
Dr. Manoj Kumar Nigam""",Faculty of Engineering,A METHOD FOR OPTIMIZING ELECTRICAL CIRCUIT LAYOUT USING ARTIFICIAL INTELLIGENCE,25.10.2024,202421069420,Published,View
Patents 2024,117,"""Mr. Gaurav Tamrakar
Mr. Swapnil Shukla""",Faculty of Engineering,A METHOD FOR ENHANCING PRODUCT DESIGN IN MECHANICAL ENGINEERING,25.10.2024,202421069421,Published,View
Patents 2024,118,"""Mr. Sanjay Kumar Mire
Mr. Ashish Agrawal""",Faculty of Pharmacy,A METHOD FOR TARGETED CANCER THERAPY,25.10.2024,202421070754,Published,View
Patents 2024,119,"""Mr. Ashish Agrawal
Ms. Prachi Gurudiwan""",Faculty of Pharmacy,A METHOD FOR CONTROLLED RELEASE OF MEDICATION USING A SMART DRUG DELIVERY PATCH,25.10.2024,202421070755,Published,View
Patents 2024,120,"""Mr. Deepak Kumar Sahu
Mr. Chiranjeev Singh""",Faculty of Pharmacy,A METHOD FOR PERSONALIZED DRUG DELIVERY USING AN ARTIFICIAL INTELLIGENCE (AI) DRIVEN PLATFORM,25.10.2024,202421070756,Published,View
Patents 2024,121,"""Mr. Mukesh Sharma
Dr. Naresh Chander """,Faculty of Law,A SYSTEM FOR AUTOMATED COMPLIANCE MONITORING FOR CORPORATE LEGAL FRAMEWORKS,25.10.2024,202421070757,Published,View
Patents 2024,122,"""Mr. Sunil Kumar Yadav
Dr. Shahana Parveen""",Faculty of Law,A SYSTEM FOR AUTOMATED CONTRACT DRAFTING TOOL USING NATURAL LANGUAGE PROCESSING,25.10.2024,202421070758,Published,View
Patents 2024,123,"""Mr. Dilip Dwivedy
Mr. Anil Kumar Singh""",Faculty of Law,A SYSTEM FOR BLOCKCHAIN-BASED HARASSMENT CASE FILING AND EVIDENCE MANAGEMENT PLATFORM,25.10.2024,202421071273,Published,View
Patents 2024,124,"""Mr. Jitendra Kumar Sinha
Dr. Tarun Pal""",Faculty of Pharmacy,A METHOD FOR CONTROLLED DRUG RELEASE USING A RESPONSIVE POLYMER-BASED SYSTEM,25.10.2024,202421072334,Published,View
Patents 2024,125,Dr. Chandra Bhushan Singh,Faculty of Commerce & Management,THE IMPACT OF GST ON MULTINATIONAL MANUFACTURING COMPANIES,25.10.2024,202441076928,Published,View
Patents 2024,126,Ms. Deepshikha Patel,Faculty of Commerce & Management,THE INFLUENCE OF INNOVATION ON CORPORATE EXPANSION,25.10.2024,202411077489,Published,View
Patents 2024,127,"""Dr. Vinay Chandra Jha
Mr. Shailesh Singh Thakur""",Faculty of Engineering,SOLAR-POWERED SEED DISPERSAL MACHINE,22.10.2024,430133-001,Grant Design,View
Patents 2024,128,"""Dr. Manoj Kumar Nigam
Mr. Akash Ingle""",Faculty of Engineering,INTELLIGENT DIABETIC SCREENING DEVICE,22.10.2024,430613-001,Grant Design,View
Patents 2024,129,Mr. Tushar Ranjan Barik,Faculty of Commerce & Management,An Analysis of Environmental Sustainability and Its Impact on Corporate Performance,18.10.2024,202411076923,Published,
Patents 2024,130,"""Ms. Urvija Khatri
Mr. Shubham Singh Chandel
Dr. Jyotsna Dwivedi""",Faculty of Commerce & Management,BLUEPRINTS FOR THE STRATEGIC PLANNING AND ACHIEVEMENT OF THE ORGANISATION,18.10.2024,202431077207,Published,View
Patents 2024,131,"""Mr. Tushar Ranjan Barik
Ms. Deepshikha Patel""",Faculty of Commerce & Management,A SYSTEM OF DYNAMIC PORTFOLIO OPTIMIZATION ALGORITHM FOR PERSONALIZED WEALTH MANAGEMENT,18.10.2024,202421068221,Published,View
Patents 2024,132,"""Ms. Mariyam Ahmed
Dr. Shinki Katyayani Pandey""",Faculty of Commerce & Management,A SYSTEM OF PERSONALIZED MARKETING AUTOMATION PLATFORM FOR RETAIL BUSINESSES,18.10.2024,202421068222,Published,View
Patents 2024,133,"""Ms. Urvija Khatri
Mrs. Nishtha Sharma""",Faculty of Commerce & Management,A SYSTEM OF AI-BASED FRAUD DETECTION AND PREVENTION IN FINANCIAL,18.10.2024,202421068223,Published,View
Patents 2024,134,"""Dr. Deepti Patnaik
Mr. Rakshak Bharti""",Faculty of Commerce & Management,A SYSTEM OF DECENTRALIZED LEDGER TECHNOLOGY FOR TRANSPARENT AND TRUSTWORTHY FINANCIAL,18.10.2024,202421068224,Published,View
Patents 2024,135,"""Dr. Anivilla Shrikant
Ms. Alpana Sharma""",Faculty of Commerce & Management,A SYSTEM OF PREDICTIVE ANALYTICS IN FINANCIAL RISK MANAGEMENT USING MACHINE LEARNING,18.10.2024,202421067943,Published,View
Patents 2024,136,"""Ms. Soumya Pandey
Dr. Eswara Veera Raghava""",Faculty of Engineering,A METHOD FOR EFFICIENT GEOSPATIAL DATA STORAGE AND RETRIEVAL,18.10.2024,202421068225,Published,View
Patents 2024,137,"""Dr. Eswara Veera Raghava
Ms. Soumya Pandey""",Faculty of Engineering,AN AI-DRIVEN GEOGRAPHIC INFORMATION SYSTEM FOR URBAN PLANNING,18.10.2024,202421068226,Published,View
Patents 2024,138,"""Dr. A. Rajshekhar
Dr. Hari Shankar Kumar""",Faculty of Arts & Humanities,A SYSTEM FOR PREDICTIVE LOCATION-BASED SERVICES,18.10.2024,202421068227,Published,View
Patents 2024,139,"""Ms. Shivangi Makade
Mr. Shubham Singh Chandel""",Faculty of Commerce & Management,A REAL-TIME FRAUD DETECTION SYSTEM FOR DIGITAL FINANCIAL TRANSACTIONS,18.10.2024,202421067944,Published,View
Patents 2024,140,"""Mrs. Neetu Singh
Dr. Kalidoss""",Faculty of Education,A METHOD FOR PREVENTING INJURIES IN SPORTS USING ARTIFICIAL INTELLIGENCE AND PREDICTIVE ANALYTICS,18.10.2024,202421068228,Published,View
Patents 2024,141,"""Dr. Saroj Nayyar
Mrs. Harsha Sharma""",Faculty of Education,A METHOD FOR GENERATING AND ADAPTING PERSONALIZED LEARNING PATHWAYS USING MULTI-MODAL ARTIFICIAL INTELLIGENCE,18.10.2024,202421068757,Published,View
Patents 2024,142,"""Dr. Dhananjay Kumar Jain
Dr. Rajesh Kumar Manik""",Faculty of Science,A SYSTEM FOR AI-DRIVEN PERSONALIZED TREATMENT PLATFORM FOR MENTAL HEALTH DISORDERS,18.10.2024,202421068758,Published,View
Patents 2024,143,"""Dr. Akshit Lamba
Mr. Ashutosh Pandey""",Faculty of Engineering,A METHOD FOR AUTOMATED AND OPTIMIZED CIVIL INFRASTRUCTURE DESIGN AND SIMULATION USING ADVANCED ARTIFICIAL INTELLIGENCE TECHNIQUES,18.10.2024,202421068759,Published,View
Patents 2024,144,"""Dr. Manoj Mathew
Mr. A.K Kaul""",Faculty of Arts & Humanities,A SYSTEM FOR SMART HEALTHCARE COMPANION: AI-ENHANCED DISEASE MANAGEMENT DEVICE,18.10.2024,202421068760,Published,View
Patents 2024,145,"""Mr. Ashutosh Pandey
Dr. Akshit Lamba""",Faculty of Engineering,A METHOD FOR PREDICTING SOIL STABILITY IN CIVIL ENGINEERING PROJECTS,18.10.2024,202421068761,Published,View
Patents 2024,146,"""Mrs. Hemlata Dewangan
Mr. Chandra Pratap Dhimar""",Faculty of Law,A SYSTEM FOR AI-POWERED LEGAL RISK ASSESSMENT TOOL FOR CORPORATE TRANSACTIONS,18.10.2024,202421070238,Published,View
Patents 2024,147,"""Dr. Nuresh Chander Sharma
Mr. Mukesh Sharma""",Faculty of Law,AN AI-DRIVEN CONSTITUTIONAL RIGHTS VIOLATION DETECTION SYSTEM,18.10.2024,202421070239,Published,View
Patents 2024,148,"""Mr. Chiranjeev Singh
Mr. Deepak Kumar Sahu""",Faculty of Pharmacy,MACHINE LEARNING-DRIVEN METHOD FOR DRUG FORMULATION AND DOSAGE OPTIMIZATION,18.10.2024,202421070240,Published,View
Patents 2024,149,"""Dr. Ashok Kumar
Ms. Rashmi Sinha""",Faculty of Pharmacy,AN INTELLIGENT THERAPEUTIC SYSTEM FOR MANAGING CHRONIC DISEASES,18.10.2024,202421068522,Published,View
Patents 2024,150,"""Mr. Gulshan Kumar Behera
Dr. Lubhawani Tripathi""",Faculty of Education,A METHOD FOR PREDICTING STUDENT PERFORMANCE USING MACHINE LEARNING,18.10.2024,202421068523,Published,View
Patents 2024,151,"""Dr. Shraddha Verma
Dr. Saroj Nayyar""",Faculty of Education,A METHOD FOR ENHANCING CLASSROOM ENGAGEMENT,18.10.2024,202421068524,Published,View
Patents 2024,152,"""Mr. Swapnil Shukla
Mr. Gaurav Tamrakar""",Faculty of Engineering,A METHOD FOR DYNAMIC LOAD ANALYSIS IN MECHANICAL STRUCTURES USING ARTIFICIAL INTELLIGENCE,18.10.2024,202421068525,Published,View
Patents 2024,153,"""Mrs. Harsha Sharma
Mr. Gulsan Kumar Behera""",Faculty of Education,A METHOD FOR AI-BASED SKILL GAP ANALYSIS IN EDUCATIONAL ENVIRONMENTS,18.10.2024,202421068526,Published,View
Patents 2024,154,"""Ms. Itishri Upadhyay
Mrs. Darshi Sharma""",Faculty of Law,AN AI-POWERED CASE PREDICTION SYSTEM FOR PATENT INFRINGEMENT LITIGATION,18.10.2024,202421070241,Published,View
Patents 2024,155,"""Mr. Brijmohan Singh
Mr. Birendra Kumar""",Faculty of Law,A SYSTEM FOR AI-POWERED PERSONAL INJURY CLAIM ASSESSMENT AND VALUATION TOOL,18.10.2024,202421070242,Published,View
Patents 2024,156,"""Ms. Meenakshi Rani
Mr. Soumyadeep Chakrabarti""",Faculty of Law,A SYSTEM FOR AI-POWERED PREDICTIVE TOOL FOR IDENTIFYING WORKPLACE HARASSMENT PATTERNS,18.10.2024,202421070243,Published,View
Patents 2024,157,"""Dr. Kalidoss
Dr. Sanjeev Kumar Yadav""",Faculty of Education,A METHOD FOR AI-ASSISTED ATHLETE PERFORMANCE TRACKING AND ANALYSIS,18.10.2024,202421068527,Published,View
Patents 2024,158,"""Dr. Swapnil Jain
Dr. Vinay Chandra Jha""",Faculty of Engineering,A METHOD FOR CONTROLLING A SMART ROBOTIC SYSTEM IN MECHANICAL ENGINEERING USING ARTIFICIAL,18.10.2024,202421068528,Published,View
Patents 2024,159,"""Dr. Sanjeev Kumar yadav
Mrs. Neetu Singh""",Faculty of Education,A METHOD FOR GENERATING PERSONALIZED TRAINING PROGRAMS IN PHYSICAL EDUCATION,18.10.2024,202421068529,Published,View
Patents 2024,160,"""Dr. Lubhawani Tripathi
Dr. Shraddha Verma""",Faculty of Education,A METHOD FOR GENERATING AND ADAPTING PERSONALIZED LEARNING PATHWAYS USING MULTI-MODAL ARTIFICIAL INTELLIGENCE,18.10.2024,202421068530,Published,View
Patents 2024,161,"""Mr. Indravesh
Mr. Alok Kumar Yadav""",Faculty of Law,AN AI-POWERED REAL ESTATE TRANSACTION FRAUD DETECTION SYSTEM,18.10.2024,202421070244,Published,View
Patents 2024,162,"""Dr. Shahana Parveen
Mr. Sunil Kumar Yadav""",Faculty of Law,A SYSTEM FOR AI-POWERED ENVIRONMENTAL IMPACT ASSESSMENT TOOL FOR LEGAL FRAMEWORKS,18.10.2024,202421070245,Published,View
Patents 2024,163,"""Dr. Narendra Kumar Singh
Dr. Vivek Malik""",Faculty of Law,A SYSTEM FOR AI-POWERED BEHAVIORAL PREDICTION TOOL FOR CRIME RECIDIVISM,18.10.2024,202421070246,Published,View
Patents 2024,164,"""Ms. Srishti Shrivastava
Dr. Shivli Shrivastava""",Faculty of Law,A SYSTEM FOR AI-DRIVEN LEGAL ASSISTANT FOR DRAFTING INTELLECTUAL PROPERTY FILINGS,18.10.2024,202421070247,Published,View
Patents 2024,165,Dr. Satvik Jain,Faculty of Commerce & Management,THE IMPACTS OF INTERNATIONAL TRADE LAWS ON DEVELOPING ECONOMIES ARE SIGNIFICANT,18.10.2024,202411076925,Published,View
Patents 2024,166,Dr. Anivilla Shrikant,Faculty of Commerce & Management,HRM AND EMPLOYEE RETENTION STRATEGIES FOR EMPLOYEE ENGAGEMENT DURING ORGANIZATIONAL CHANGE,18.10.2024,202411076783,Published,View
Patents 2024,167,"""Dr. F. Rahman
Dr. Priya Vij""",Faculty of CS & IT,AN ADAPTIVE MACHINE LEARNING SYSTEM FOR DYNAMIC DECISION MAKING,11.10.2024,202421066280,Published,View
Patents 2024,168,"""Mr. Rajeev Kumar Bhaskar
Dr. Nidhi Mishra""",Faculty of CS & IT,A SYSTEM OF DEEP LEARNING-BASED SENTIMENT ANALYSIS FOR SOCIAL MEDIA,11.10.2024,202421066283,Published,View
Patents 2024,169,"""Dr. Uruj Jaleel
Dr. Abhijeet Madhukar Havel""",Faculty of CS & IT,A SYSTEM OF NEURAL NETWORK ARCHITECTURE FOR REAL-TIME IMAGE RECOGNITION,11.10.2024,202421066284,Published,View
Patents 2024,170,"""Mr. Manish Nandy
Mr. Debarghya Biswas""",Faculty of Engineering,AN AI-POWERED PREDICTIVE MAINTENANCE SYSTEM FOR INDUSTRIAL EQUIPMENT,11.10.2024,202421067524,Published,View
Patents 2024,171,"""Mr. Rakshak Bharti
Dr. Deepti Patnaik""",Faculty of Commerce & Management,AN INTELLIGENT ALGORITHMIC TRADING SYSTEM FOR ENHANCED FINANCIAL DECISION MAKING,11.10.2024,202421067525,Published,View
Patents 2024,172,"""Dr. Chandra Bhushan Singh
Ms. Angel Mary Xess""",Faculty of Commerce & Management,AN AUTOMATED FINANCIAL TRANSACTION PROCESSING SYSTEM USING BLOCKCHAIN TECHNOLOGY,11.10.2024,202421067526,Published,View
Patents 2024,173,"""Ms. Chandni Sawlani
Mr. Manish Nandy""",Faculty of Engineering,AN AI-ENHANCED CYBERSECURITY SYSTEM WITH BEHAVIOURAL ANALYSIS,11.10.2024,202421067527,Published,View
Patents 2024,174,"""Ms. Deepshikha Patel
Dr. Satvik Jain""",Faculty of Commerce & Management,A SYSTEM OF CRYPTOCURRENCY PAYMENT GATEWAY WITH SEAMLESS INTEGRATION INTO TRADITIONAL BANKING,11.10.2024,202421067528,Published,View
Patents 2024,175,"""Ms. Angel Mary Xess
Dr. Chandra Bhushan singh""",Faculty of Commerce & Management,A SYSTEM OF ARTIFICIAL INTELLIGENCE-DRIVEN ROBO-ADVISORS FOR PERSONALIZED FINANCIAL PLANNING,11.10.2024,202421067529,Published,View
Patents 2024,176,"""Mrs. NIshtha Sharma
Ms. Urvija Khatri""",Faculty of Commerce & Management,A SYSTEM OF SECURE MULTI-FACTOR AUTHENTICATION FRAMEWORK FOR FINANCIAL TRANSACTIONS,11.10.2024,202421067530,Published,View
Patents 2024,177,"""Dr. Shinki Katyayani Pandey
Dr. Anivilla Shrikant""",Faculty of Commerce & Management,A SYSTEM OF BLOCKCHAIN-BASED TOKENIZATION OF ASSETS FOR EFFICIENT FINANCIAL TRANSACTIONS,11.10.2024,202421067531,Published,View
Patents 2024,178,"""Mr. Shubham Singh Chandel
Mr. Tushar Ranjan Barik""",Faculty of Commerce & Management,A SYSTEM OF SMART CONTRACTS FOR AUTOMATED AND TRUSTWORTHY FINANCIAL AGREEMENTS,11.10.2024,202421067532,Published,View
Patents 2024,179,"""Mrs. Jharna Maiti
Dr. Amit Joshi""",Faculty of Science,A REMOTE MONITORING AND CONTROL SYSTEM FOR LIVESTOCK HEALTH AND WELFARE,11.10.2024,202421067062,Published,View
Patents 2024,180,"""Mr. Kamlesh Kumar Yadav
Ms. Chandni Sawlani""",Faculty of CS & IT,A SYSTEM OF AUTONOMOUS AGENTS FOR SMART RESOURCE ALLOCATION IN IOT,11.10.2024,202421067063,Published,View
Patents 2024,181,"""Dr. Nidhi Mishra
Ms. Palvi Soni""",Faculty of Commerce & Management,A SYSTEM SELF-OPTIMIZING NEURAL NETWORKS FOR EFFICIENT ENERGY CONSUMPTION,11.10.2024,202421067064,Published,View
Patents 2024,182,"""Dr. Priya Vij
Dr. F. Rahman""",Faculty of CS & IT,A SYSTEM OF DISTRIBUTED MACHINE LEARNING FOR FEDERATED EDGE COMPUTING,11.10.2024,202421067065,Published,View
Patents 2024,183,"""Dr. Nuresh Kumar Khunte
Dr. Rahul Mishra""",Faculty of Engineering,A SYSTEM OF COGNITIVE COMPUTING IN AUTONOMOUS VEHICLES FOR ENHANCED SAFETY,11.10.2024,202421067066,Published,View
Patents 2024,184,"""Ms. Urvashi Sharma
Ms. Lipsa Dash""",Faculty of Science,AN AI-DRIVEN MEDICAL DIAGNOSIS SYSTEM WITH INTERPRETABILITY FEATURES,11.10.2024,202421067067,Published,View
Patents 2024,185,"""Ms. Palvi Soni
Mr. Rajeev Kumar Bhaskar""",Faculty of CS & IT,A SYSTEM OF ROBUST NATURAL LANGUAGE PROCESSING FOR MULTILINGUAL CONVERSATIONAL INTERFACES,11.10.2024,202421067068,Published,View
Patents 2024,186,"""Dr. Sanjay Kumar
Mr. Manish Nandy""",Faculty of Engineering,A HUMAN-MACHINE COLLABORATION THROUGH EXPLAINABLE AI SYSTEM,11.10.2024,202421067069,Published,View
Patents 2024,187,"""Dr. Abhijeet Madhukar Haval
Dr. Uruj Jaleel""",Faculty of CS & IT,A SYSTEM OF COMPUTER VISION ALGORITHMS FOR AUTONOMOUS NAVIGATION IN UNSTRUCTURED,11.10.2024,202421067070,Published,View
Patents 2024,188,"""Mr. Debarghya Biswas
Mr. Kamlesh Kumar Yadav""",Faculty of CS & IT,A SYSTEM OF BLOCKCHAIN INTEGRATION FOR SECURE AND TRANSPARENT AI DATA TRANSACTIONS,11.10.2024,202421067071,Published,View
Patents 2024,189,"""Dawakit Lepcha
Mr. Rakshak Bharti""",Faculty of Commerce & Management,ANALYSIS OF SOCIAL MEDIA MARKETING IMPACT ON CONSUMER BEHAVIOUR,11.10.2024,202431074477,Published,View
Patents 2024,190,"""Mrs. Kanchan Thakur
Ms. Mariyam Ahmed""",Faculty of Commerce & Management,THE INFLUENCER MARKETING EFFECT ON GENERATION Z'S PRODUCT BUYING BEHAVIOR,09.10.2024,202431076450,Published,View
Patents 2024,191,"""Mrs. Ashu Nayak
Ms. Aakansha Soy""",Faculty of CS & IT,A BLOCKCHAIN-BASED SUPPLY CHAIN MANAGEMENT SYSTEM FOR AGRICULTURE PRODUCTS,04.10.2024,202421065166,Published,View
Patents 2024,192,"""Dr. Aupa Singh
Mrs. Ashu Nayak""",Faculty of CS & IT,AN AI-DRIVEN SOIL NUTRIENT AND MOISTURE OPTIMIZATION SYSTEM,04.10.2024,202421065169,Published,View
Patents 2024,193,"""Ms. Akanksha Soy
Mr. Om Prakash Dewangan""",Faculty of CS & IT,AN INTEGRATED PEST AND DISEASE MANAGEMENT SYSTEM USING MACHINE LEARNING,04.10.2024,202421065170,Published,View
Patents 2024,194,"""Dr. Manoj Kumar Nigam
Mr. Akash Ingle""",Faculty of Engineering,AN AUTOMATED DRONE-BASED CROP HEALTH MONITORING AND MANAGEMENT SYSTEM,04.10.2024,202421065171,Published,View
Patents 2024,195,"""Dr. Vinay Chandra Jha
Mr. Shailesh Singh Thakur""",Faculty of Engineering,AN AUTONOMOUS PRECISION AGRICULTURE ROBOT SYSTEM FOR PLANTING AND HARVESTING,04.10.2024,202421065172,Published,View
Patents 2024,196,"""Mr. Om Prakash Dewangan
Dr. Anupa Sinha""",Faculty of CS & IT,A SMART IRRIGATION SYSTEM UTILIZING PREDICTIVE ANALYTICS AND IOT SENSORS,04.10.2024,202421065173,Published,View
Patents 2024,197,"""Dr. Harishankar Kumar
Dr. A. Rajshekhar""",Faculty of Arts & Humanities,AN AUTOMATED VERTICAL FARMING SYSTEM WITH REAL-TIME ENVIRONMENTAL CONTROL,04.10.2024,202421066274,Published,View
Patents 2024,198,Dr. Abhishek Kumar Pandey,Faculty of Science,A SMART FERTILIZATION SYSTEM WITH ADAPTIVE NUTRIENT DELIVERY,04.10.2024,202421066277,Published,View
Patents 2024,199,"""Ms. Akanksha Soy
Mr. Om Prakash Dewangan""",Faculty of CS & IT,A RENEWABLE ENERGY-POWERED GREENHOUSE CLIMATE CONTROL SYSTEM,04.10.2024,202421066279,Published,View
Patents 2024,200,Dr. Asha Ambhaikar,Faculty of CS & IT,HYDROGEN FUELLED E-BIKE,01.10.2024,6335711,Grant,View
Patents 2024,201,"Mr. Kamlesh kumar Yadav
 Ms. Aakansha Soy
 Ms. L. Jyoti Reddy 
 Mr. Manish Nandy
 Ms. Laboni Saha 
 Ms. Ragini Kushwaha
 Ms. Prerna Dusi",Faculty of CS & IT,DATA CENTER MANAGING SMART DEVICE,29.09.2024,431394-001,Grant Design,
Patents 2024,202,"""Mr. Naimish Nanda
Dr. Rajesh Kumar Manik
Dr. Indrani Sarkar
Dr. Anushree Saha
Mr.Smruti Ranjan Dash
Dr. Faiz Bux
Dr. Dhananjay Kumar
Ms. Lipsa Dash""",Faculty of Science,INNOVATIVE YOGA MAT WITH INTEGRATED MEDICAL SENSORS FOR REAL-TIME HEALTH MONITORING,20.09.2024,6382737,Grant Design,View
Patents 2024,203,"Omprakash Dewangan
Dr. Swapnil Jain
Dr. Asha Ambhaikar",Faculty of CS & IT,DEVICE TO DETECT ENVIRONMENTAL POLLUTION,02.09.2024,403147-001,Published,View
Patents 2024,204,Dr. Deepti Patnaik,Faculty of Commerce & Management,EFFECTIVE BUSINESS COMMUNICATION IN THE DIGITAL AGE: STRATEGIES FOR SUCCESS,30.08.2024,202421059448,Published,
Patents 2024,205,"""Dr. Vijayalaxmi Biradar
Mr. Anup Kumar Jana
Mr. Sarat Chandra Mohanty
Dr. Anita Verma
Dr. Anu G. Pillai
Ms. Rupal Gupta""",Faculty of Engineering,A REMOTE-CONTROLLED POND/RIVER/LAKES CLEANING ROBOT SYSTEM,23.08.2024,202421049270,Published,View
Patents 2024,206,"""Dr. Vijayalaxmi Biradar
Mr. Anup Kumar Jana
Mr. Sarat Chandra Mohanty
Dr. Anita Verma
Dr. Anu G. Pillai
Ms. Rupal Gupta""",Faculty of Engineering,AN IOT-BASED SMART GARBAGE MONITORING SYSTEM FOR EFFICIENT WASTE MANAGEMENT,09.08.2024,202421054364,Published,View
Patents 2024,207,Dr. Sanyogita Shahi,Faculty of Science,METHOD OF EXTRACTION OF FIBRES FROM URGINEA INDICA KUNTH ( WILD ONION),07.08.2024,202421059802,Published,View
Patents 2024,208,Naimish Nanda,Faculty of Pharmacy,AUTOMATED DEVICE FOR DETECTING DISINTEGRATION TIME FOR DIFFERENT TABLETS,05.08.2024,6381047,Grant Design,View
Patents 2024,209,Dr. Manoj Kumar Nigam,Faculty of Engineering,SOLAR POWERED AGRICULTURE ROBOT,24.07.2024,6377728,Grant Design,View
Patents 2024,210,Dr. Ashok Kumar,Faculty of Pharmacy,A LIMIT TEST APPARATUS AND METHOD THEREOF,19.07.2024,202421046501,Published,View
Patents 2024,211,Mr. Deepak Kumar Sahu,Faculty of Pharmacy,A 3D-PRINTED PERSONALIZED MEDICATION DISPENSER SYSTEM,19.07.2024,202421042059,Published,View
Patents 2024,212,Mr. Harish Jaiswal,Faculty of Pharmacy,AN AUTOMATED COMPOUNDING PHARMACY ROBOT (ACPR) SYSTEM,19.07.2024,202421042062,Published,View
Patents 2024,213,Dr. Ravindra Pandey,Faculty of Arts & Humanities,A PERSONAL FINANCIAL HEALTH TRACKER SYSTEM,12.07.2024,202421043752,Published,View
Patents 2024,214,Ms. Lokeshwari Sahu,Faculty of Pharmacy,AUTOMATED MEDICATION DISPENSING SYSTEM AND METHOD THEREOF,12.07.2024,202421043753,Published,View
Patents 2024,215,Ms. Urvashi Jain,Faculty of Pharmacy,A MEDICATION ADHERENCE GAMIFICATION PLATFORM SYSTEM,12.07.2024,202421043754,Published,View
Patents 2024,216,Mr. Gyan Prakash,Faculty of Arts & Humanities,AN IMMERSIVE VIRTUAL ANTHROPOLOGY FIELDWORK SIMULATION PLATFORM SYSTEM,12.07.2024,202421043755,Published,View
Patents 2024,217,Dr. Chetan Kumar,Faculty of Pharmacy,PHARMACY MEDICATION FLAVOURING SYSTEM AND METHOD THEREOF,12.07.2024,202421043756,Published,View
Patents 2024,218,Mr. Chiranjeev Singh,Faculty of Pharmacy,AN AI-ENHANCED PERSONALIZED PHARMACOKINETICS PLATFORM (AIPP) SYSTEM,12.07.2024,202421044620,Published,View
Patents 2024,219,Mr. Sudeep Kumar Yadav,Faculty of Arts & Humanities,HISTORICAL DOCUMENT DIGITIZATION SYSTEM AND METHOD THEREOF,12.07.2024,202421043748,Published,View
Patents 2024,220,Mr. Beyant Singh,Faculty of Pharmacy,A MEDICATION REMINDER LAMP SYSTEM,12.07.2024,202421043757,Published,View
Patents 2024,221,Mr. Naresh Chandravanshi,Faculty of Pharmacy,MEDICATION DELIVERY TEMPERATURE TRACKING SYSTEM AND METHOD THEREOF,12.07.2024,202421043758,Published,View
Patents 2024,222,Dr. Anamika Pandey,Faculty of Science,AN AI-ENHANCED REAL-TIME GLOBAL ENVIRONMENTAL MONITORING AND PREDICTION SYSTEM,12.07.2024,202421044621,Published,View
Patents 2024,223,Dr. Mamta Rani,Faculty of Education,AN EDUCATIONAL PROGRAM PLANNING AND EVALUATION SYSTEM,12.07.2024,202421044622,Published,View
Patents 2024,224,Mr. Sanjay Kumar Yadav,Faculty of Arts & Humanities,A CULTURAL HERITAGE INFORMATIVE SYSTEM,12.07.2024,202421044623,Published,View
Patents 2024,225,Dr. Ravi Kumar Yadav,Faculty of Arts & Humanities,A MULTILINGUAL AI-POWERED CONVERSATIONAL PARTNER AND LANGUAGE LEARNING ASSISTANT SYSTEM,12.07.2024,202421043749,Published,View
Patents 2024,226,Mr. Birendra Kumar Sahu,Faculty of Pharmacy,A SMART INHALER WITH INTEGRATED ENVIRONMENTAL SENSORS (SIES) SYSTEM,12.07.2024,202421043750,Published,View
Patents 2024,227,Dr. Yashpal Singh,Faculty of Education,AN INTEGRATED MODULAR ROBOTICS LEARNING SYSTEM WITH PORTABLE PROGRAMMING BACKPACK,12.07.2024,202421044624,Published,View
Patents 2024,228,Ms. Vandana Yadav,Faculty of Arts & Humanities,INTELLIGENT HINDI LANGUAGE PROOFREADING AND PLAGIARISM DETECTION SYSTEM,12.07.2024,202421044625,Published,View
Patents 2024,229,Mrs. Santosh Devi,Faculty of Arts & Humanities,AN INTERACTIVE LITERATURE ANALYSIS TOOL (ILAT) SYSTEM,12.07.2024,202421044626,Published,View
Patents 2024,230,Dr. Anil Kumari,Faculty of Arts & Humanities,A SOCIAL TREND TRACKER (STT) SYSTEM,12.07.2024,202421044627,Published,View
Patents 2024,231,Mr. Devendra Kumar Singh,Faculty of Arts & Humanities,INTELLIGENT HINDI LANGUAGE TRANSLATION AND COMPREHENSION SYSTEM,12.07.2024,202421044647,Published,View
Patents 2024,232,Ms. Shikha Kumari Rajak,Faculty of Pharmacy,A GEOSPATIAL HEALTH ALERT SYSTEM (GHAS),12.07.2024,202421044648,Published,View
Patents 2024,233,Dr. Ravi Kumar Yadav,Faculty of Arts & Humanities,AN AI-GUIDED PATHOPHYSIOLOGY DIAGNOSTIC AND TREATMENT PLATFORM (AIPDT) SYSTEM,12.07.2024,202421044649,Published,View
